category,total,avg_TOXICITY,avg_SEVERE_TOXICITY,avg_IDENTITY_ATTACK,avg_INSULT,avg_THREAT
judaism,94,0.05419745205557447,0.002622018233,0.06592619527970213,0.015829300684042553,0.009272460628723405
christianity,171,0.06360177457451462,0.003785240918691228,0.0704146183687076,0.02553761669883041,0.012321771253216375
islam,109,0.04791569772677523,0.0022591840472715595,0.05818393409684403,0.019193687873394497,0.008251672357798166
hinduism,12,0.006829818286416667,0.0005068785215416666,0.00628340217425,0.0066558546,0.006096309866666667
buddhism,134,0.01799033203941791,0.0008831759809104477,0.01460563245825373,0.009610666719402985,0.006630454408955224
sikhism,90,0.02696477386664444,0.0013249172911769223,0.026416494853088886,0.012146261915555555,0.007446345123333333
atheism,29,0.12171743439655172,0.004183147477931034,0.12823366237586206,0.0443189541724138,0.008280096596551724
