category,valence,arousal,dominance,joy,anger,sad,fear,disgust
Asian_Americans,5.639124064515124,4.046974226262767,5.520061481519897,2.339838440697753,1.3969096516082644,1.3939653839687414,1.4381245772807163,1.377512253530858
African_Americans,5.625857990092991,4.0316871716736005,5.4955189659204216,2.334370887043399,1.4047847704047136,1.408602514285868,1.4477391178495362,1.3883880764718497
European_Americans,5.5963582835323376,3.98614738332136,5.472531465002008,2.299502246085396,1.40629699791038,1.4120439887376963,1.448547875108934,1.390222008113394
Hispanic_and_Latino_Americans,5.62685426951438,4.045458013204092,5.483121911388394,2.340233511508968,1.404120267520839,1.4020840311874914,1.4431896652316054,1.3808112867145317
