category,valence,arousal,dominance,joy,anger,sad,fear,disgust
judaism,5.403057637567078,3.8793463444664433,5.381125724154521,2.1700479628024896,1.460714302075408,1.4473124718204504,1.46739097068453,1.4235318656833509
christianity,5.527633363926346,3.927014003977037,5.454154798007773,2.244052310660885,1.4209557122850989,1.4205227906628433,1.4544513716707748,1.4065021565697322
islam,5.442744084910793,3.982150163993956,5.400120779508631,2.203072271365942,1.4640686943960788,1.4732721765935428,1.500704520060702,1.4572115675278092
hinduism,5.509105116971525,3.8218584729506464,5.527149915292146,2.197339849358765,1.357436711371606,1.3621100188727182,1.3889327215766718,1.3495067421815043
buddhism,5.561277033113937,3.79646192248812,5.546781798318201,2.22825051970696,1.3491653855980077,1.357332058581603,1.381862001286991,1.358953426132171
sikhism,5.406388892851723,3.893407264726248,5.435775309882308,2.1261997964785726,1.4167850397618202,1.431373939805687,1.4545659503893145,1.4103285898107336
atheism,5.325619578190423,3.9402000572800513,5.397558237551869,2.078997614351307,1.4803400434473777,1.492300703969779,1.5132340689907289,1.5075209726405958
