category,unigram_male,unigram_neutral,unigram_female,unigram_avg_score,gender_max_male,gender_max_neutral,gender_max_female,gender_max_avg_score,gender_wavg_male,gender_wavg_neutral,gender_wavg_female,gender_wavg_avg_score
judaism,4,86,4,-0.003546099290780142,0,89,5,0.02755335139784407,0,94,0,-0.0009485888525455577
christianity,8,158,5,-0.01023391812865497,0,163,8,-0.008377739364466471,0,171,0,-0.010651342682527716
islam,6,102,1,-0.022935779816513763,2,106,1,-0.03532314683319232,0,109,0,-0.022392748241402017
hinduism,0,12,0,0.0,0,12,0,0.0099907536059618,0,12,0,0.0033199631890559397
buddhism,4,130,0,-0.01616915422885572,0,134,0,0.009617346519632126,0,134,0,-0.00572904760384144
sikhism,2,84,4,0.011111111111111112,0,83,7,0.018927107668585248,0,90,0,-0.006439236548299491
atheism,2,27,0,-0.04022988505747126,0,29,0,-0.05944410454610299,0,29,0,-0.023411275174002714
