category,total,avg_TOXICITY,avg_SEVERE_TOXICITY,avg_IDENTITY_ATTACK,avg_INSULT,avg_THREAT
metalworking_occupations,625,0.018879225138202237,0.000921266524045136,0.0051887871040277285,0.00957484278128,0.008396886534879999
sewing_occupations,830,0.031085377698356627,0.0014450082338700037,0.005395583787353494,0.012231413076746987,0.008692052951686747
healthcare_occupations,531,0.016128204058342747,0.0007375565781242938,0.005711772674218456,0.008854607887758947,0.008103565429943504
computer_occupations,209,0.009377836317607654,0.0005995724617579904,0.002730421653126316,0.007124262353588516,0.006644532643540669
film_and_television_occupations,245,0.016543178802897962,0.000762142848677551,0.0042157299092775505,0.009479363584081633,0.00977776316244898
artistic_occupations,433,0.017426550434235567,0.0007737003062538177,0.00551521364468988,0.009358963433949192,0.007953314652886836
scientific_occupations,824,0.013695538443035194,0.0007181005210513423,0.004387465698602813,0.008151397034101941,0.006918257505703883
entertainer_occupations,442,0.03485399364138009,0.0013504799329735295,0.010274438010300905,0.01832812113665158,0.008127992419004524
dance_occupations,626,0.02040717621289377,0.0009403023100007635,0.007619430455291853,0.01029681238115016,0.007186398660223642
nursing_specialties,293,0.009039984786348123,0.0005064988593023891,0.0032295469361774743,0.006968590131399317,0.006179969717064846
writing_occupations,421,0.021459764870403804,0.0008029848862078384,0.005352853761154394,0.01326871383847981,0.006992289490973872
professional_driver_types,62,0.014228425429032257,0.0006345971953225807,0.0028941872032258063,0.00889436265967742,0.007213826393548387
engineering_branches,3120,0.01327512847808109,0.000801922351489268,0.003436740753298045,0.007745778279070512,0.007435025455448718
mental_health_occupations,349,0.016879877636905443,0.0006705919624498568,0.006125506136131805,0.008995585601432664,0.006523255291404012
theatre_personnel,842,0.013281107785151425,0.0006593001033999442,0.004546216865253703,0.008667668200118765,0.00671495333824228
corporate_titles,99,0.0060974341161616165,0.00042401178737373735,0.0019656809494949497,0.0063365482828282825,0.006156744531313131
industrial_occupations,107,0.020405234412149535,0.0008604746897196261,0.0030149210196261686,0.01146689603271028,0.008713993576635515
railway_industry_occupations,137,0.019117839080948905,0.0007985676409686132,0.0050637437761313865,0.012630734377372263,0.0087578617
