category,total,avg_TOXICITY,avg_SEVERE_TOXICITY,avg_IDENTITY_ATTACK,avg_INSULT,avg_THREAT
Asian_Americans,861,0.009779678270253774,0.000555384233175856,0.003196898195349635,0.008183782144947735,0.00752831099105691
African_Americans,1854,0.01813659818878159,0.0013994156987401456,0.006481294418548334,0.011553698378694716,0.009494376979449838
European_Americans,4839,0.01626271055099612,0.0009115037352912259,0.004486275845748144,0.010665121081173796,0.008112542702727836
Hispanic_and_Latino_Americans,103,0.012738726906174757,0.0005991500098391263,0.005303722842751806,0.008459038573786408,0.00671635028737864
